LAT,LON,HOUSE_ID,ADDRESS,HOUSE_TYPE,LEVELS,LIFTS,RMC,RMC_NLIVE,INHAB,AREA,AREA_LIVE,AREA_NLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENRG_CLS,BLAG_PLAY,BLAG_SPORT,BLAG_OTHER,OTHER,COLD_WATER,HOT_WATER,FUNDAMENT,PEREKRYT,MAT_NES,INOE_OBOR,ELECT_TYPE,ELECT_VVOD,TEPLO_TYPE,GORVODA_TY,HOLVODA_TY,VOTV_TYPE,VOTV_YAM,GAZ_TYPE,VSTK_TYPE
58.135076,61.71497,8942518,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Геологоразведчиков, д. 1",Многоквартирный дом,2.0,,12.0,,38.0,580.4,507.4,146.0,0.0,946.5,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",ленточный,Смешанные,Блочные,,центральная,,центральная,автономная,центральная,автономная,,центральная,Наружные водостоки
58.135632,61.714646,8942519,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Геологоразведчиков, д. 2",Многоквартирный дом,2.0,,12.0,,16.0,582.4,510.6,168.0,0.0,947.5,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",ленточный,Смешанные,Блочные,,центральная,,центральная,автономная,центральная,автономная,,центральная,Наружные водостоки
58.135632,61.714646,8942525,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Геологоразведчиков, д. 3",Многоквартирный дом,2.0,,12.0,,17.0,526.2,481.2,0.0,0.0,947.5,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",ленточный,Смешанные,Блочные,,центральная,,центральная,автономная,центральная,автономная,,центральная,Наружные водостоки
58.135632,61.714646,8942530,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Геологоразведчиков, д. 4",Многоквартирный дом,2.0,,12.0,,11.308270676691729,474.7,300.8,173.0,0.0,945.8,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",ленточный,Смешанные,Блочные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.142273,61.720494,9085434,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Зеленая, д. 17",Жилой дом блокированной застройки,1.0,,,,4.0,72.0,72.0,0.0,0.0,,,,Не заполнено,,,,,,,,,,,,,,,,,,,
58.142943,61.719955,9322878,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Зеленая, д. 18",Жилой дом блокированной застройки,1.0,,,,2.706766917293233,72.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,
58.133831,61.714296,8942532,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 1",Многоквартирный дом,2.0,,16.0,,19.860902255639093,729.2,528.3,200.0,0.0,984.7,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Кирпич,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.134263,61.71532,8942797,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 2",Многоквартирный дом,2.0,,12.0,,13.43984962406015,670.1,357.5,258.0,0.0,986.5,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Панельные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.133831,61.714296,8942803,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 3",Многоквартирный дом,2.0,,12.0,,13.515037593984962,674.6,359.5,260.0,0.0,947.5,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Панельные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.134211,61.713425,8942805,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 4",Многоквартирный дом,2.0,,12.0,,13.451127819548871,617.0,357.8,259.0,0.0,950.0,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Панельные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.133831,61.714296,8942806,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 5",Многоквартирный дом,2.0,,12.0,,13.68796992481203,663.8,364.1,249.0,0.0,948.0,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Панельные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.134211,61.713425,8942808,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 6",Многоквартирный дом,2.0,,12.0,,13.274436090225564,663.0,353.1,255.0,0.0,947.1,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Панельные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.133831,61.714296,8942813,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 7",Многоквартирный дом,2.0,,12.0,,12.857142857142856,657.9,342.0,270.0,0.0,946.0,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Панельные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.134211,61.713425,8942814,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 8",Многоквартирный дом,2.0,,12.0,,13.180451127819548,663.0,350.6,259.0,0.0,948.1,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Панельные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.133831,61.714296,8942816,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 9",Многоквартирный дом,2.0,,18.0,,36.37218045112782,1053.1,967.5,85.0,0.0,1342.1,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Кирпич,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.13395,61.709634,8942538,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Комсомольская, д. 10",Многоквартирный дом,2.0,,24.0,,28.12406015037594,1482.0,748.1,635.0,0.0,1567.1,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Панельные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Отсутствует
58.13596,61.717853,9080583,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Ленина, д. 7",Жилой дом блокированной застройки,1.0,,,,2.0,72.0,72.0,0.0,0.0,,,,Не заполнено,,,,,,,Отсутствует,Деревянные,Деревянные,,,,,,,,,,
58.13596,61.717853,8942817,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Ленина, д. 11",Многоквартирный дом,2.0,,16.0,,17.98872180451128,741.2,478.5,262.7,0.0,934.2,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Блочные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.134477,61.717045,8942820,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Ленина, д. 12",Многоквартирный дом,2.0,,16.0,,17.98872180451128,749.8,478.5,270.6,0.0,953.1,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",Ленточный,Смешанные,Блочные,,центральная,,центральная,центральная,центральная,центральная,,центральная,Наружные водостоки
58.134007,61.717988,8943485,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Советская, д. 2",Многоквартирный дом,2.0,,12.0,,13.0,788.2,708.5,0.0,79.7,1204.3,,,Не присвоен,,,,,,,Ленточный,Смешанные,Блочные,,Центральное,,Отсутствует,Отсутствует,Отсутствует,Отсутствует,,Отсутствует,Наружные водостоки
